Source	Description	ID	Units	Analyzed timeframe 	Resolution	Source	Category
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO10 = Mean temperature of warmest quarter	CHELSA_BIO10	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO11 = Mean temperature of coldest quarter	CHELSA_BIO11	°C	1979-2013	30 arc sec	Satellite & climate stations	Temperature
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO12 = Annual precipitation	CHELSA_BIO12	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO13 = Precipitation of wettest month	CHELSA_BIO13	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO14 = Precipitation of driest month	CHELSA_BIO14	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO15 = Precipitation seasonality (coefficient of variation)	CHELSA_BIO15	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO16 = Precipitation of wettest quarter	CHELSA_BIO16	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO17 = Precipitation of driest quarter	CHELSA_BIO17	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO18 = Precipitation of warmest quarter	CHELSA_BIO18	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
CHELSA_(Climatologies_at_high_resolution_for_the_earths_land_surface_areas)	CHELSA BIO19 = Precipitation of coldest quarter	CHELSA_BIO19	mm	1979-2013	30 arc sec	Satellite & climate stations	Precipitation
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Cloud cover spring	CRU_Cld_spring	%	1901-2006	0.5°	Climate stations	Atmospheric
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Cloud cover summer	CRU_Cld_summer	%	1901-2006	0.5°	Climate stations	Atmospheric
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Diurnal temperature range spring	CRU_Dtr_spring	ºC	1901-2006	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Diurnal temperature range summer	CRU_Dtr_summer	ºC	1901-2007	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Frost day frequency spring	CRU_Frs_spring	days	1901-2008	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Frost day frequency summer	CRU_Frs_summer	days	1901-2009	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Precipitation spring	CRU_Pre_spring	mm	1901-2010	0.5°	Climate stations	Precipitation
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Precipitation summer	CRU_Pre_summer	mm	1901-2011	0.5°	Climate stations	Precipitation
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Daily mean temperature spring	CRU_Tmp_spring	ºC	1901-2012	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Daily mean temperature summer	CRU_Tmp_summer	ºC	1901-2013	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Monthly average daily minimum temperature spring	CRU_Tmn_spring	ºC	1901-2014	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Monthly average daily minimum temperature summer	CRU_Tmn_summer	ºC	1901-2015	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Monthly average daily maximum temperature spring	CRU_Tmx_spring	ºC	1901-2016	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Monthly average daily maximum temperature summer	CRU_Tmx_summer	ºC	1901-2017	0.5°	Climate stations	Temperature
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Vapour pressure spring	CRU_Vap_spring	hPa	1901-2018	0.5°	Climate stations	Atmospheric
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Vapour pressure summer	CRU_Vap_summer	hPa	1901-2019	0.5°	Climate stations	Atmospheric
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Wet day frequency spring	CRU_Wet_spring	days	1901-2020	0.5°	Climate stations	Precipitation
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Wet day frequency summer	CRU_Wet_summer	days	1901-2021	0.5°	Climate stations	Precipitation
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Potential evapotranspiration spring	CRU_PET_spring	mm	1901-2022	0.5°	Climate stations	Drought stress
Consortium_for_Spatial_Information_(CGIAR-CSI)._CRU-TS_v3.10.01_Historic_Climate_Database_for_GIS	CRU Potential evapotranspiration summer	CRU_PET_summer	mm	1901-2023	0.5°	Climate stations	Drought stress
ETOPO1	Bedrock topography	Bedrock_Topography	meters	NA	1 arc-minute	Satellite	Geography and physical terrain
FAO_World_maps_of_climatological_net_primary_production_of_biomass	FAO Sensitivity of NPP with respect to changes in annual mean Precipitation dNPP/dT	FAO_dNPPdP	g/m2/mm	1976 - 2000	0.5°	Climate stations	Productivity
FAO_World_maps_of_climatological_net_primary_production_of_biomass	FAO Sensitivity of NPP with respect to changes in annual mean temperature dNPP/dT	FAO_dNPPdT	g/m2/ºC	1976 - 2000	0.5°	Climate stations	Productivity
FAO_World_maps_of_climatological_net_primary_production_of_biomass	FAO NPP based on CRU	FAO_CRU_NPP	g/m2	1976 - 2000	0.5°	Climate stations	Productivity
FAO_World_maps_of_climatological_net_primary_production_of_biomass	FAO NPP based on GPCP	FAO_GPCC_NPP	g/m2	1976 - 2000	0.5°	Climate stations	Productivity
FAO_World_maps_of_climatological_net_primary_production_of_biomass	FAO NPP based on GPCP VASClimO	FAO_GPCC_VASClimO_NPP	g/m2	1976 - 2000	0.5°	Climate stations	Productivity
FAO_Koeppen_Climatology	FAO GPCC VASClimO Precipitation	FAO_GPCC_VASClimO_Precipitation	mm	1976 - 2000	0.5°	Climate stations	Precipitation
FAO_Koeppen_Climatology	FAO CRU Precipitation	FAO_CRU_Precipitation	mm	1976 - 2000	0.5°	Climate stations	Precipitation
FAO_Koeppen_Climatology	FAO CRU Temperature	FAO_CRU_Temperature	ºC	1976 - 2000	0.5°	Climate stations	Temperature
FAO_Koeppen_Climatology	FAO GPCC Fulldata Precipitation	FAO_GPCC_Fulldata_Precipitation	mm	1976 - 2000	0.5°	Climate stations	Precipitation
FAO_Koeppen_Climatology	FAO Aridity index of De Martonne CRU	FAO_Aridity_index_De_Martonne_CRU	Index	1976 - 2000	0.5°	Climate stations	Drought stress
FAO_Koeppen_Climatology	FAO Aridity index of De Martonne GPCC Fulldata	FAO_Aridity_index_De_Martonne_GPCC_Fulldata	Index	1976 - 2000	0.5°	Climate stations	Drought stress
FAO_Koeppen_Climatology	FAO Aridity index of De Martonne GPCC VASClimO	FAO_Aridity_index_of_De_Martonne_GPCC_VASClimO	Index	1976 - 2000	0.5°	Climate stations	Drought stress
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil reference bulk density	HWSD_Topsoil_ref_bulk_dens	kg/dm3	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil clay fraction	HWSD_Topsoil_clay_fraction	%	2009	30 arc-second	Soil survey	Edaphic
FAO_Harmonized_World_Soil_Database_v_1.2	HWSD Topsoil gravel content	HWSD_Topsoil_gravel_content	%	2009	30 arc-second	Soil survey	Edaphic
