Source,Description,ID,Units,Link,Analyzed timeframe ,Link,Resolution,Data access,Source,Category,Reference
FLASHFlux,FLASHFlux Net radiation spring,Net_radiation_spring,W/m2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,2006-2011,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,0.25°,15-Feb-17,Satellite,Radiation,"Stackhouse Jr, Paul W., et al. ""Fast longwave and shortwave radiative flux (FLASHFlux) products from CERES and MODIS measurements."" (2006)."
FLASHFlux,FLASHFlux Net radiation summer,Net_radiation_summer,W/m2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,2006-2011,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,0.25°,15-Feb-17,Satellite,Radiation,"Stackhouse Jr, Paul W., et al. ""Fast longwave and shortwave radiative flux (FLASHFlux) products from CERES and MODIS measurements."" (2006)."
Gravity_Recovery_and_Climate_Experiment_(GRACE),GRACE Water equivalent anomaly spring,Water_equivalent_anomaly_Spring,cm,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,0.5°,21-Nov-16,Satellite,Drought stress,"Swenson, S. & Wahr, J. Post_processing removal of correlated errors in GRACE data. Geophysical Research Letters 33(2006)."
Gravity_Recovery_and_Climate_Experiment_(GRACE),GRACE Water equivalent anomaly summer,Water_equivalent_anomaly_Summer,cm,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,0.5°,21-Nov-16,Satellite,Drought stress,"Swenson, S. & Wahr, J. Post_processing removal of correlated errors in GRACE data. Geophysical Research Letters 33(2006)."
Tropical_Rainfall_Monitoring_Mission_(TRMM),TRMM Rainfall spring,Rainfall_spring,mm,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,0.25°,15-Feb-17,Satellite,Precipitation,"Kummerow, C., Barnes, W., Kozu, T., Shiue, J. & Simpson, J. The tropical rainfall measuring mission (TRMM) sensor package. Journal of atmospheric and oceanic technology 15, 809-817 (1998)."
Tropical_Rainfall_Monitoring_Mission_(TRMM),TRMM Rainfall summer,Rainfall_summer,mm,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,0.25°,15-Feb-17,Satellite,Precipitation,"Kummerow, C., Barnes, W., Kozu, T., Shiue, J. & Simpson, J. The tropical rainfall measuring mission (TRMM) sensor package. Journal of atmospheric and oceanic technology 15, 809-817 (1998)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD05L2,MOD05L2 Total precipitable water (water vapor) spring,Precipitable_water_spring,cm,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,0.1°,15-Feb-17,Satellite,Precipitation,"Gao, B., and Yoram J. Kaufman. ""The MODIS Near-IR Water Vapor Algorithm: Product ID: MOD05-Total Precipitable Water."" Algorithm Technical Background Document, Remote Sensing Division, Code 7212 (1998)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD05L2,MOD05L2 Total precipitable water (water vapor) summer,Precipitable_water_summer,cm,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,0.1°,15-Feb-17,Satellite,Precipitation,"Gao, B., and Yoram J. Kaufman. ""The MODIS Near-IR Water Vapor Algorithm: Product ID: MOD05-Total Precipitable Water."" Algorithm Technical Background Document, Remote Sensing Division, Code 7212 (1998)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3,MOD11C3 Average land surface day temperature spring,LTemp_day_spring,°C,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,0.1°,16-Feb-17,Satellite,Temperature,"Salomonson, Vincent V., et al. ""MODIS: Advanced facility instrument for studies of the Earth as a system."" IEEE Transactions on Geoscience and Remote Sensing 27.2 (1989): 145-153."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3,MOD11C3 Average land surface day temperature summer,LTemp_day_summer,°C,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,0.1°,16-Feb-17,Satellite,Temperature,"Salomonson, Vincent V., et al. ""MODIS: Advanced facility instrument for studies of the Earth as a system."" IEEE Transactions on Geoscience and Remote Sensing 27.2 (1989): 145-153."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3,MOD11C3 Average land surface night temperature spring,Ltemp_night_spring,°C,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,0.1°,16-Feb-17,Satellite,Temperature,"Salomonson, V.V., Barnes, W.L., Maymon, P.W., Montgomery, H.E. & Ostrow, H. MODIS: Advanced facility instrument for studies of the Earth as a system. IEEE Transactions on Geoscience and Remote Sensing 27, 145-153 (1989)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD11C3,MOD11C3 Average land Surface night temperature summer,Ltemp_night_summer,°C,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,0.1°,16-Feb-17,Satellite,Temperature,"Salomonson, V.V., Barnes, W.L., Maymon, P.W., Montgomery, H.E. & Ostrow, H. MODIS: Advanced facility instrument for studies of the Earth as a system. IEEE Transactions on Geoscience and Remote Sensing 27, 145-153 (1989)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD13Q1,MOD13Q1 Normalized difference vegetation index spring,NDVI_Spring,Index,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,0.1°,1-Feb-16,Satellite,Productivity,"Wan, Zhengming. ""MODIS land-surface temperature algorithm theoretical basis document (LST ATBD)."" Institute for Computational Earth System Science, Santa Barbara 75 (1999)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD13Q1,MOD13Q1 Normalized difference vegetation index summer,NDVI_Summer,Index,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,0.1°,1-Feb-16,Satellite,Productivity,"Wan, Zhengming. ""MODIS land-surface temperature algorithm theoretical basis document (LST ATBD)."" Institute for Computational Earth System Science, Santa Barbara 75 (1999)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD15A2,MOD16A2 Leaf area index during spring,LAI_Spring,m2/m2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,0.1°,16-Feb-17,Satellite,Productivity,"Knyazikhin, Y., et al. ""MODIS leaf area index (LAI) and fraction of photosynthetically active radiation absorbed by vegetation (FPAR) product (MOD15) algorithm theoretical basis document."" Theoretical Basis Document, NASA Goddard Space Flight Center, Greenbelt, MD 20771 (1999)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD15A2,MOD16A2 Leaf area index during summer,LAI_Summer,m2/m2,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,0.1°,16-Feb-17,Satellite,Productivity,"Knyazikhin, Y., et al. ""MODIS leaf area index (LAI) and fraction of photosynthetically active radiation absorbed by vegetation (FPAR) product (MOD15) algorithm theoretical basis document."" Theoretical Basis Document, NASA Goddard Space Flight Center, Greenbelt, MD 20771 (1999)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2,MOD16A2 Global potential evapotranspiration (PET),MOD16A2_PET,mm/yr,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/, 1 km 2,1-Feb-16,Satellite,Drought stress,"Mu, Qiaozhen, Maosheng Zhao, and Steven W. Running. ""MODIS Global Terrestrial Evapotranspiration (ET) Product (NASA MOD16A2/A3)."" Algorithm Theoretical Basis Document, Collection 5 (2013)."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2,MOD16A2 Global evapotranspiration (ET),MOD16A2_ET,mm/yr,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/, 1 km 2,1-Feb-16,Satellite,Drought stress,"Mu, Qiaozhen, et al. ""A remotely sensed global terrestrial drought severity index."" Bulletin of the American Meteorological Society 94.1 (2013): 83-98."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2,MOD16A2 Global latent heat flux (LE),MOD16A2_LE,W/m2,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/, 1 km 2,1-Feb-16,Satellite,Drought stress,"Mu, Qiaozhen, Maosheng Zhao, and Steven W. Running. ""Improvements to a MODIS global terrestrial evapotranspiration algorithm."" Remote Sensing of Environment 115.8 (2011): 1781-1800."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2,MOD16A2 Aridity index ,MOD16A2_Aridity_index,Index,https://vdeblauwe.wordpress.com/download/,2001-2013,https://vdeblauwe.wordpress.com/download/,0.05°,6-Apr-16,Satellite,Drought stress,"Deblauwe V., Droissart V., Bose R., Sonké B., Blach-Overgaard A., Svenning J-C, Wieringa J. J., Ramesh B. R., Stévart T. & Couvreur T. L. P. 2016. Remotely sensed temperature and precipitation data improve species distribution modeling in the tropics. Global Ecology and Biogeography. 25(4): 443-454
"
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2,MOD16A2 Climatic water deficity ,MOD16A2_Climatic_water_deficit,mm/yr,https://vdeblauwe.wordpress.com/download/,2001-2013,https://vdeblauwe.wordpress.com/download/,0.05°,6-Mar-16,Satellite,Drought stress,"Deblauwe V., Droissart V., Bose R., Sonké B., Blach-Overgaard A., Svenning J-C, Wieringa J. J., Ramesh B. R., Stévart T. & Couvreur T. L. P. 2016. Remotely sensed temperature and precipitation data improve species distribution modeling in the tropics. Global Ecology and Biogeography. 25(4): 443-454
"
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD16A2,MOD16A2 Number of dry months,MOD16A2_Number_of_dry_months,days,https://vdeblauwe.wordpress.com/download/,2001-2013,https://vdeblauwe.wordpress.com/download/,0.05°,6-Mar-16,Satellite,Drought stress,"Deblauwe V., Droissart V., Bose R., Sonké B., Blach-Overgaard A., Svenning J-C, Wieringa J. J., Ramesh B. R., Stévart T. & Couvreur T. L. P. 2016. Remotely sensed temperature and precipitation data improve species distribution modeling in the tropics. Global Ecology and Biogeography. 25(4): 443-454
"
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2,MOD17A2 Gross primary productivity spring,GPP_Spring,gC/m2/day,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,2001-2010,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,0.05°,12-Feb-16,Satellite,Productivity,"Heinsch, Faith Ann, et al. ""GPP and NPP (MOD17A2/A3) Products NASA MODIS Land Algorithm."" MOD17 User's Guide (2003): 1-57."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2,MOD17A2 Gross primary productivity summer,GPP_Summer,gC/m2/day,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,2001-2010,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,0.05°,12-Feb-16,Satellite,Productivity,"Zhang, Yangjian, et al. ""Global pattern of NPP to GPP ratio derived from MODIS data: effects of ecosystem type, geographical location and climate."" Global Ecology and Biogeography 18.3 (2009): 280-290."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2,MOD17A2 Net primary productivity spring,NPP_Spring,gC/m2/day,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,0.1°,16-Feb-17,Satellite,Productivity,"Heinsch, Faith Ann, et al. ""GPP and NPP (MOD17A2/A3) Products NASA MODIS Land Algorithm."" MOD17 User's Guide (2003): 1-57."
Moderate-resolution_imaging_spectroradiometer_(MODIS):_MOD17A2,MOD17A2 Net primary productivity summer,NPP_Summer,gC/m2/day,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,0.1°,16-Feb-17,Satellite,Productivity,"Zhang, Yangjian, et al. ""Global pattern of NPP to GPP ratio derived from MODIS data: effects of ecosystem type, geographical location and climate."" Global Ecology and Biogeography 18.3 (2009): 280-290."
GTOPO30,GTOPO30 Topography,Topography,m,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=10003_1,1999,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=10003_1,30-arc seconds,21-Nov-16,Satellite,Geography and physical terrain,"Gesch, Dean B., Kristine L. Verdin, and Susan K. Greenlee. ""New land surface digital elevation model covers the Earth."" EOS, Transactions American Geophysical Union 80.6 (1999): 69-70."
NASA_Shuttle_Radar_Topographic_Mission_(SRTM),SRTM 90m Digital Elevation Database v4.1,SRTM_Elevation,m,http://www.cgiar-csi.org/data/srtm-90m-digital-elevation-database-v4-1,2008,http://www.cgiar-csi.org/data/srtm-90m-digital-elevation-database-v4-1,90 m,2-Dec-16,Satellite,Geography and physical terrain,"Jarvis, A., H.I. Reuter, A. Nelson, E. Guevara, 2008, Hole-filled SRTM for the globe Version 4, available from the CGIAR-CSI SRTM 90m Database (http://srtm.csi.cgiar.org)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Smoothed Brightness Temperature summer,SMT_Spring,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Smoothed Brightness Temperature spring,SMT_Summer,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Smoothed NDVI spring,SMN_Spring,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Smoothed NDVI summer,SMN_Summer,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Temperature Condition Index spring,TCI_Spring,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Temperature Condition Index summer,TCI_Summer,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Vegetation Condition Index spring,VCI_Spring,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Vegetation Condition Index summer,VCI_Summer,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Vegetation Health Index spring,VHI_Spring,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
AVHRR_Vegetation_Health_Product_(NOAA_STAR),AVHRR Vegetation Health Index summer,VHI_Summer,Index,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,Satellite,Productivity,"Guo, Wei. ""AVHRR Vegetation Health Product (AVHRR-VHP) User Guide."" (2013)."
The_International_Satellite_Land_Surface_Climatology_Project_(ISLSCP_II),ISLSCP II CO2 EMISSIONS,CO2_Emissions,C/cm2/sec,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=1021_11,1986-1995,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=1021_11,1°,21-Nov-16,Satellite,Atmospheric,"Andres, R.J., G. Marland, I. Fung, E. Matthews, and A.L. Brenkert. 2011. ISLSCP II Carbon Dioxide Emissions from Fossil Fuels, Cement, and Gas Flaring. In Hall, Forrest G., G. Collatz, B. Meeson, S. Los, E. Brown de Colstoun, and D. Landis (eds.). ISLSCP Initiative II Collection.  Data set."
WORLD_BANK_Global_Solar_Atlas,WORLD BANK Photovoltaic power potential ,WB_PVOUT,kWh/kWp,http://globalsolaratlas.info/downloads/world,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,Satellite,Radiation,"ESMAP. 2019. Global Solar Atlas 2.0 Technical Report. Washington, DC: World Bank."
WORLD_BANK_Global_Solar_Atlas,WORLD BANK Global horizontal irradiation,WB_GHI,kWh/m2,http://globalsolaratlas.info/downloads/world,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,Satellite,Radiation,"ESMAP. 2019. Global Solar Atlas 2.0 Technical Report. Washington, DC: World Bank."
WORLD_BANK_Global_Solar_Atlas,WORLD BANK Diffuse horizontal irradiation,WB_DIF,kWh/m2,http://globalsolaratlas.info/downloads/world,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,Satellite,Radiation,"ESMAP. 2019. Global Solar Atlas 2.0 Technical Report. Washington, DC: World Bank."
WORLD_BANK_Global_Solar_Atlas,WORLD BANK Global irradiation for optimally tilted surface,WB_GTI,kWh/m2,http://globalsolaratlas.info/downloads/world,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,Satellite,Radiation,"ESMAP. 2019. Global Solar Atlas 2.0 Technical Report. Washington, DC: World Bank."
WORLD_BANK_Global_Solar_Atlas,WORLD BANK Optimum tilt to maximize yearly yield,WB_OPTA,degrees,http://globalsolaratlas.info/downloads/world,NA,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,Satellite,Radiation,"ESMAP. 2019. Global Solar Atlas 2.0 Technical Report. Washington, DC: World Bank."
